Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Average Receivables,Average Overdue,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,fb_rating
30156459,01-08-2019,0,1,0,3121.215,-2934.195,28,EXCELLENT,2500,1.347226,0,-0.673613,4.9
30156461,01-11-2019,0,1,0,0,0,28,EXCELLENT,8000,0,0,0,0
30156469,01-03-2019,0,1,0,1160.771667,0,28,EXCELLENT,2500,1.392926,0,-0.696463,0
30156476,01-12-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,4.5
30156478,01-12-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,4.8
30156486,01-05-2019,0,1,0,844.2566667,-1688.513333,28,EXCELLENT,2500,0,0,0,0
30156488,01-09-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,0
30156490,01-07-2019,0,1,0,0,0,28,EXCELLENT,18000,0,0,0,4.7
30156491,01-07-2019,0,4,0,23261.28667,0,28,EXCELLENT,7600,0,0,0,3.05
30156493,01-08-2019,0,1,0,0,0,28,EXCELLENT,47000,0,0,0,0
30156499,01-10-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,4.5
30156510,01-10-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
30156515,01-11-2019,0,1,0,0,0,28,EXCELLENT,9000,0,0,0,0
30156516,01-10-2019,0,1,0,705.8333333,0,28,EXCELLENT,4000,0,0,0,4
30156517,01-03-2019,0,1,0,2453.028333,0,28,EXCELLENT,2500,3.399015764,0,-2.943634,0
30156521,01-06-2019,0,1,0,462.6233333,-462.6233333,28,EXCELLENT,2500,0,0,0,0
30156529,01-10-2019,0,1,0,2218.333333,0,28,EXCELLENT,4000,0,0,0,0
30156531,01-09-2019,0,1,0,0,-1497.38,28,EXCELLENT,3000,0,-0.499126667,-0.499126667,0
30156536,01-12-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30156538,01-05-2019,0,1,0,131.2366667,-262.4733333,28,EXCELLENT,2500,0,0,0,4.5
30156541,01-08-2019,0,2,0,21362.52,-2917.573333,28,EXCELLENT,2500,0,1.435712,1.435712,0
30156545,01-05-2019,0,1,0,430.5983333,-3684.53,28,EXCELLENT,2500,0,-3.388,-3.388,0
30156550,01-07-2019,0,1,0,1843.62,0,28,EXCELLENT,2500,0,0,0,0
30156558,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
30156573,01-01-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30156574,01-10-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,0
30156622,01-02-2019,0,1,0,0,-743.0816667,28,STRUCTURAL OFFENDER,0.01,0,0,0,0
30156623,01-12-2019,0,2,0,3203.1,-164.4666667,14,AVERAGE,2800,0.446790983,0.815725,0.32629,4.65
30156643,01-06-2019,0,1,0,537.7233333,0,28,EXCELLENT,2500,0,0,0,4.9
30156657,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,3.8
30156660,01-11-2019,0,2,0,0,0,28,EXCELLENT,9000,0,0,0,0
30156665,01-05-2019,0,1,0,4186.693333,-8373.386667,28,EXCELLENT,2500,0,0,0,0
30156674,01-07-2019,0,1,0,171.9616667,0,28,EXCELLENT,2500,0,0,0,0
30156675,01-06-2019,0,1,0,439.9566667,-439.9566667,28,EXCELLENT,2500,0,0,0,0
30156681,01-05-2019,0,1,0,49.005,-196.02,28,EXCELLENT,2500,0,0,0,0
30156682,01-05-2019,0,1,0,1887.808333,-3775.616667,28,EXCELLENT,2500,0,0,0,0
30156693,01-09-2019,0,1,0,89.66166667,0,28,AVERAGE,4000,0,0,0,0
30156735,01-11-2019,0,1,0,0,0,28,EXCELLENT,9000,0,0,0,0
30156739,01-08-2019,0,1,0,390.225,0,28,EXCELLENT,2500,0,0,0,0
30156741,01-10-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
30156745,01-11-2019,0,1,0,0,0,28,EXCELLENT,9000,0,0,0,0
30156748,01-11-2019,0,2,0,0,0,28,EXCELLENT,9000,0,0,0,2.45
30156754,01-03-2019,0,1,0,22.99,-22.99,28,EXCELLENT,2500,0.027588,0,-0.013794,0
30156755,01-12-2019,0,1,0,403.3333333,0,28,GOOD,2500,0,0,0,0
30156758,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
